Unnamed: 0,tIn,qFlo,qFloSp,sRad
2019-01-01 00:00:00,21.46870040893555,90.72432708740234,90.0,100.0
2019-01-01 01:00:00,21.56445026397705,90.1771011352539,90.0,100.0
2019-01-01 02:00:00,21.66020011901855,90.5755500793457,90.0,100.0
2019-01-01 03:00:00,21.66020011901855,87.7948989868164,90.0,100.0
2019-01-01 04:00:00,21.66020011901855,89.71224975585938,90.0,100.0
2019-01-01 05:00:00,21.66020011901855,87.90715026855469,90.0,100.0
2019-01-01 06:00:00,21.66020011901855,89.50015068054199,90.0,100.0
2019-01-01 07:00:00,21.66020011901855,90.52325057983398,90.0,100.0
2019-01-01 08:00:00,21.66020011901855,88.8085994720459,90.0,100.0
2019-01-01 09:00:00,21.56445026397705,90.99370002746582,90.0,100.0
2019-01-01 10:00:00,21.56445026397705,90.51350021362305,90.0,100.0
2019-01-01 11:00:00,21.612325191497803,89.99960136413574,90.0,100.0
2019-01-01 12:00:00,21.66020011901855,89.77775001525879,90.0,100.0
2019-01-01 13:00:00,21.81339988708496,90.23377418518066,90.0,100.0
2019-01-01 14:00:00,21.96666030883789,90.07557678222656,90.0,100.0
2019-01-01 15:00:00,22.04330062866211,90.22915077209473,90.0,100.0
2019-01-01 16:00:00,22.04330062866211,90.33787727355957,90.0,100.0
2019-01-01 17:00:00,22.04330062866211,89.74002456665039,90.0,100.0
2019-01-01 18:00:00,21.8996000289917,90.14565086364746,90.0,100.0
2019-01-01 19:00:00,21.708075046539303,89.5697021484375,90.0,100.0
2019-01-01 20:00:00,21.46870040893555,88.98149871826172,90.0,100.0
2019-01-01 21:00:00,21.31541976928711,88.51409912109375,90.0,100.0
2019-01-01 22:00:00,21.162199783325196,89.85822677612305,90.0,100.0
2019-01-01 23:00:00,21.08559989929199,88.39007377624512,90.0,100.0
2019-01-02 00:00:00,20.970700073242185,89.41252517700195,90.0,100.0
2019-01-02 01:00:00,20.89410018920898,89.65112495422363,90.0,100.0
2019-01-02 02:00:00,20.89410018920898,90.15354919433594,90.0,100.0
2019-01-02 03:00:00,20.89410018920898,90.46472549438477,90.0,100.0
2019-01-02 04:00:00,20.89410018920898,90.17552375793457,90.0,100.0
2019-01-02 05:00:00,20.85580024719238,89.98397445678711,90.0,100.0
2019-01-02 06:00:00,20.70260047912598,90.38789939880371,90.0,100.0
2019-01-02 07:00:00,20.70260047912598,90.42227745056152,90.0,100.0
2019-01-02 08:00:00,20.625960159301762,89.32877540588379,90.0,100.0
2019-01-02 09:00:00,20.51099967956543,92.53242683410645,90.0,100.0
2019-01-02 10:00:00,20.62596015930176,88.4656753540039,90.0,100.0
2019-01-02 11:00:00,20.779200363159184,88.78052520751953,90.0,100.0
2019-01-02 12:00:00,21.08559989929199,89.7568244934082,90.0,100.0
2019-01-02 13:00:00,21.31541976928711,90.36310005187988,90.0,100.0
2019-01-02 14:00:00,21.46870040893555,91.41707611083984,90.0,100.0
2019-01-02 15:00:00,21.46870040893555,89.41545104980469,90.0,100.0
2019-01-02 16:00:00,21.46870040893555,90.39724922180176,90.0,100.0
2019-01-02 17:00:00,21.353739929199218,92.0267276763916,90.0,100.0
2019-01-02 18:00:00,21.277099609375,87.83376007080078,90.0,100.0
2019-01-02 19:00:00,21.162199783325196,90.22719879150391,90.0,100.0
2019-01-02 20:00:00,21.08559989929199,89.97919921875,90.0,100.0
2019-01-02 21:00:00,21.009000015258785,89.85402069091796,90.0,100.0
2019-01-02 22:00:00,20.89410018920898,90.0390411376953,90.0,100.0
2019-01-02 23:00:00,20.89410018920898,90.72560119628906,90.0,100.0
