Unnamed: 0,tIn,qFlo,qFloSp,sRad
2019-01-01 0:00,22.18690014,112.5400009,151,1
2019-01-01 1:00,22.13902521,112.65625,151,0
2019-01-01 2:00,22.21084142,112.1862507,151,0
2019-01-01 3:00,22.28266525,112.446249,151,0
2019-01-01 4:00,22.28266525,112.4727497,151,0
2019-01-01 5:00,22.33054733,111.6812496,151,0
2019-01-01 6:00,22.30660629,112.2189999,151,0
2019-01-01 7:00,22.36945033,112.4694996,151,0
2019-01-01 8:00,22.58196378,112.3562489,151,0
2019-01-01 9:00,22.67772508,111.5390015,151,0
2019-01-01 10:00,22.56398964,209.5387459,226.0721703,0
2019-01-01 11:00,21.92353725,176.4764977,170.8929253,0
2019-01-01 12:00,22.11509347,169.8372498,167.4460831,0
2019-01-01 13:00,21.92954803,186.6399994,182.4798813,0
2019-01-01 14:00,22.04325771,156.4027519,151.1195335,7.190275192
2019-01-01 15:00,21.99538255,198.2610016,197.7580414,0
2019-01-01 16:00,22.11509347,137.3860016,151,0.439635009
2019-01-01 17:00,22.42634439,116.8865013,151,0
2019-01-01 18:00,22.37846184,111.4459991,151,0
2019-01-01 19:00,22.33057976,111.0855007,151,0
2019-01-01 20:00,22.20188832,111.6082497,151,0
2019-01-01 21:00,22.0672102,110.8867512,151,0
2019-01-01 22:00,21.97144914,111.3390007,151,0
2019-01-01 23:00,21.48063421,111.1275005,151,0
2019-01-02 0:00,21.16342759,111.2175007,151,0
2019-01-02 1:00,20.9539578,111.0015011,151,0
2019-01-02 2:00,20.81029701,111.3432503,151,0
2019-01-02 3:00,20.71451426,111.642498,151,0
2019-01-02 4:00,20.61875677,111.6557503,151,0
2019-01-02 5:00,20.59481931,112.2125015,151,0
2019-01-02 6:00,20.45117927,112.7417507,151,0
2019-01-02 7:00,20.49905801,113.8929996,151,0
2019-01-02 8:00,21.48063278,145.8404999,151,67.94657063
2019-01-02 9:00,22.05523467,151.6887512,151,10.82649994
2019-01-02 10:00,22.00735617,149.9769974,151,3.746774912
2019-01-02 11:00,22.03728747,150.7262497,151,6.647824764
2019-01-02 12:00,21.95947385,151.1307487,151,0
2019-01-02 13:00,22.00436139,152.1202507,151,4.885525227
2019-01-02 14:00,22.06719732,150.0137558,151,0
2019-01-02 15:00,21.97143984,151.2775002,151,20.5339241
2019-01-02 16:00,21.87566614,156.225502,151.0336113,22.78245342
2019-01-02 17:00,22.09115124,153.8947563,151,23.77457428
2019-01-02 18:00,21.95049143,152.6817513,151,3.016350031
2019-01-02 19:00,21.90260887,153.0065002,151,18.02997589
2019-01-02 20:00,22.06720638,154.7732506,151,3.614375114
2019-01-02 21:00,21.95348883,155.3372498,151,16.03027534
2019-01-02 22:00,22.05525255,118.8477516,151,0
2019-01-02 23:00,21.74399066,114.9960003,151,0
2019-01-03 0:00,21.48064375,112.2312489,151,0
2019-01-03 1:00,21.33700371,112.2822495,151,0
2019-01-03 2:00,21.24124622,112.6842499,151,0
2019-01-03 3:00,21.19336414,112.3225002,151,0
2019-01-03 4:00,21.04968166,112.9020004,151,0
2019-01-03 5:00,21.04968166,113.0454998,151,0
2019-01-03 6:00,21.04968166,112.5144997,151,0
2019-01-03 7:00,21.0975728,112.4412498,151,0
2019-01-03 8:00,21.86370397,148.3619995,151,25
2019-01-03 9:00,21.94748998,155.3370018,151,19.08634949
2019-01-03 10:00,22.13903856,177.2032509,182.6680908,5.644000053
2019-01-03 11:00,21.96845412,257.6879997,253.9082031,0
2019-01-03 12:00,21.98340034,177.232502,178.0128098,0
2019-01-03 13:00,22.0312829,209.676506,214.3817024,0
2019-01-03 14:00,21.86370921,165.9034996,166.1909828,5.47179985
2019-01-03 15:00,22.24375463,199.7594986,204.6160583,0
2019-01-03 16:00,21.93853307,191.0492516,190.0135651,0
2019-01-03 17:00,22.00735617,161.0597496,163.579586,0
2019-01-03 18:00,21.9774189,190.1862488,188.920475,0
2019-01-03 19:00,22.00734878,161.4145012,160.6088028,0
2019-01-03 20:00,22.00435495,239.0087509,237.2581558,0
2019-01-03 21:00,22.01930237,185.5702477,184.8582306,0
2019-01-03 22:00,22.33055449,119.1100006,151,0
2019-01-03 23:00,22.59393215,115.029501,151,0
2019-01-04 0:00,22.64179826,111.980999,151,0
2019-01-04 1:00,22.78544712,112.7410011,151,0
2019-01-04 2:00,22.98895288,112.2479992,151,0
2019-01-04 3:00,23.34804869,111.8562489,151,0
2019-01-04 4:00,23.27622509,111.7089996,151,0
2019-01-04 5:00,23.34804153,111.3135014,151,0
2019-01-04 6:00,23.34804153,111.5477505,151,0
2019-01-04 7:00,23.34804153,111.0200005,151,0
2019-01-04 8:00,22.30063081,319.8300018,311.522274,0
2019-01-04 9:00,21.99539304,200.3174973,199.0211258,0
2019-01-04 10:00,21.99745035,206.2519951,199.9198532,0
2019-01-04 11:00,22.04328251,228.4275017,228.0635147,0
2019-01-04 12:00,22.04328251,208.4039993,204.9586296,0
2019-01-04 13:00,22.01933241,191.4985008,190.5593834,0
2019-01-04 14:00,22.06722379,193.9782524,196.9996376,0
2019-01-04 15:00,22.04327369,190.3052483,192.3955307,0
2019-01-04 16:00,22.04328251,224.7897491,225.8285141,0
2019-01-04 17:00,22.01934147,171.355751,173.0798111,0
2019-01-04 18:00,22.03429079,180.2765007,176.3693962,0
2019-01-04 19:00,22.00735998,201.8800011,202.3456879,0
2019-01-04 20:00,22.07918882,175.2327461,177.5551071,0
2019-01-04 21:00,22.00736904,184.067749,180.4893303,0
2019-01-04 22:00,22.43830228,119.1582508,151,0
2019-01-04 23:00,22.94104767,114.0612507,151,0
2019-01-05 0:00,23.22835755,112.1792507,151,0
2019-01-05 1:00,23.39594746,111.449749,151,0
2019-01-05 2:00,23.73110175,111.0067501,151,0
2019-01-05 3:00,23.62038302,111.3287506,151,0
2019-01-05 4:00,23.7550528,110.8847485,151,0
2019-01-05 5:00,23.85084367,110.7744999,151,0
2019-01-05 6:00,24.18600249,110.3292503,151,0
2019-01-05 7:00,24.20993614,110.3902512,151,0
2019-01-05 8:00,24.2817564,110.4762516,151,0
2019-01-05 9:00,23.67425323,250.5589981,269.149765,0
2019-01-05 10:00,22.04625845,312.0650024,311.2085266,0
2019-01-05 11:00,22.02232194,290.3862457,288.5704041,0
2019-01-05 12:00,22.04325795,249.2317543,255.0509491,0
2019-01-05 13:00,22.00231671,274.1197433,273.0627327,0
2019-01-05 14:00,22.00733757,261.0770035,260.7994537,0
2019-01-05 15:00,21.98340011,248.4817505,245.0005569,0
2019-01-05 16:00,21.98339629,229.8255005,225.915947,0
2019-01-05 17:00,22.19887757,172.7362518,188.7223854,0
2019-01-05 18:00,23.0368228,117.6640015,151,0
2019-01-05 19:00,23.44381857,112.449749,151,0
2019-01-05 20:00,23.99446654,111.4340019,151,0
2019-01-05 21:00,24.29974413,110.5335007,151,0
2019-01-05 22:00,24.38951015,110.7005005,151,0
2019-01-05 23:00,24.38951015,110.4389973,151,0
2019-01-06 0:00,24.36556888,110.5887508,151,0
2019-01-06 1:00,24.31170011,110.8917522,151,0
2019-01-06 2:00,24.31468892,111.0389996,151,0
2019-01-06 3:00,24.41345024,110.2682495,151,0
2019-01-06 4:00,24.41345024,110.7277489,151,0
2019-01-06 5:00,24.41345024,110.1772499,151,0
2019-01-06 6:00,24.53314471,110.9654999,151,0
2019-01-06 7:00,24.41345024,110.0475025,151,0
2019-01-06 8:00,24.38352394,110.2420006,151,0
2019-01-06 9:00,24.28177786,110.3924999,151,0
2019-01-06 10:00,24.20996475,109.9217491,151,0
2019-01-06 11:00,24.25784349,110.0449982,151,0
2019-01-06 12:00,24.56905341,109.8277512,151,0
2019-01-06 13:00,24.71269274,109.4702492,151,0
2019-01-06 14:00,24.56905699,109.5415001,151,0
2019-01-06 15:00,24.35359764,109.2657471,151,0
2019-01-06 16:00,24.09025836,109.2487488,151,0
2019-01-06 17:00,23.9944675,109.5909996,151,0
2019-01-06 18:00,23.77900314,109.0925007,151,0
2019-01-06 19:00,23.65930486,108.9975014,151,0
2019-01-06 20:00,23.39593625,108.9077511,151,0
2019-01-06 21:00,23.37198257,109.1005001,151,0
2019-01-06 22:00,23.41987371,109.4102516,151,0
2019-01-06 23:00,23.25228405,109.3394985,151,0
2019-01-07 0:00,23.03683162,109.4559994,151,0
2019-01-07 1:00,22.918437,109.6419983,151,0
2019-01-07 2:00,23.12660766,109.7470016,151,0
2019-01-07 3:00,22.90514183,110.6957493,151,0
2019-01-07 4:00,22.66571522,110.8435001,151,0
2019-01-07 5:00,22.47420812,111.5445004,151,0
2019-01-07 6:00,22.67771411,111.619751,151,0
2019-01-07 7:00,22.71362662,110.9137478,151,0
2019-01-07 8:00,20.59628296,207.5357552,208.517807,75
2019-01-07 9:00,19.73148394,154.9982491,151,100
2019-01-07 10:00,19.4776144,155.3537483,151,100
2019-01-07 11:00,18.89828324,154.6085014,151,100
2019-01-07 12:00,20.29597068,154.8077545,151,100
2019-01-07 13:00,19.71302629,154.9747505,151,100
2019-01-07 14:00,18.48496723,155.4880028,151,100
2019-01-07 15:00,18.89036274,152.8395004,151,100
2019-01-07 16:00,18.49390054,148.6619987,151,100
2019-01-07 17:00,17.50720978,150.3312531,151,100
2019-01-07 18:00,17.95136595,149.6375008,151,100
2019-01-07 19:00,20.94217038,149.6394997,151,92.50772476
2019-01-07 20:00,21.9624505,149.8402481,151,25.59947681
2019-01-07 21:00,21.97740602,151.0620003,151,17.86754477
2019-01-07 22:00,21.8038311,118.4560013,151,0
2019-01-07 23:00,21.63623905,112.2732506,151,0
2019-01-08 0:00,21.51654196,111.9775009,151,0
2019-01-08 1:00,21.7080946,112.1359997,151,0
2019-01-08 2:00,21.7799108,112.1142502,151,0
2019-01-08 3:00,21.80384827,111.7592487,151,0
2019-01-08 4:00,21.72903967,112.407999,151,0
2019-01-08 5:00,21.79187775,112.2424984,151,0
2019-01-08 6:00,22.03129148,112.4174995,151,0
2019-01-08 7:00,22.21084023,111.9512482,151,0
2019-01-08 8:00,20.92722106,167.5699997,158.8306427,75
2019-01-08 9:00,21.39686298,151.7300034,151,85.77735043
2019-01-08 10:00,21.29210305,151.2497482,151,100
2019-01-08 11:00,21.81580925,150.9557533,151,98.04314995
2019-01-08 12:00,22.30662537,223.7205009,232.048851,0
