TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
CS_02VVRRP7108_TL,2169.421838.TL1,CS_02VVRRP7108,421838.AO5.Present_Value,2020-04-13 10:28:39,82.0,90000,%
CS_02VVRRH7108_TL,2169.421838.TL2,CS_02VVRRH7108,421838.AO4.Present_Value,2020-04-13 10:28:46,82.0,90000,%
CS_02VVCDMOP7108_TL,2169.421838.TL3,trend_log_input_ref not found,421838.BO5.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVCDMCL7108_TL,2169.421838.TL4,trend_log_input_ref not found,421838.BO6.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVFSA7108_TL,2169.421838.TL5,trend_log_input_ref not found,421838.AI5.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VVTST7108_TL,2169.421838.TL6,CS_02VVTST7108,421838.AI101.Present_Value,2020-04-13 10:28:46,82.0,90000,°C
CS_02VVSOC7108_TL,2169.421838.TL7,CS_02VVSOC7108,421838.BI1.Present_Value,2020-04-13 10:28:46,82.0,0,Units not found
CS_02VV7108_RTS_SP_TL,2169.421838.TL8,CS_02VV7108_RTS_SP,421838.AV1.Present_Value,2020-04-13 10:28:41,86.0,0,°C
CS_02VV7108_FLOW_TL,2169.421838.TL9,trend_log_input_ref not found,421838.AV9.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7108_FLOW_SP_TL,2169.421838.TL10,trend_log_input_ref not found,421838.AV10.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7108_DP_SP_TL,2169.421838.TL11,trend_log_input_ref not found,421838.AV14.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7108_DMP_VRTL_POS_TL,2169.421838.TL12,trend_log_input_ref not found,421838.AV15.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
