,tSa,tRa,tOa,pSa,sOa,sHc,sCc,sFan,tSaSp,pSaSp
2019-01-03 2:00,17.99382544,21.64531676,-10.38488324,314.480011,59.72836558,0,0,54.74145889,18,300
2019-01-03 3:00,18.07799959,21.61950016,-10.31330649,314.480011,59.71549988,0,0,54.74145889,18,300
2019-01-03 4:00,17.98727512,21.64509169,-10.02556324,314.480011,57.20345116,0,0,54.74145889,18,300
2019-01-03 5:00,18.05292511,21.63479996,-9.506724834,314.480011,59.70890045,0,0,54.74145889,18,300
2019-01-03 6:00,18.01857519,21.65972503,-8.458786647,314.480011,59.70890045,0,0,54.74145889,18,300
2019-01-03 7:00,18.03945017,21.69449981,-8.128776709,314.480011,57.21685028,0,0,54.74145889,18,300
2019-01-03 8:00,17.99945068,21.51149178,-7.254406611,314.480011,52.22020149,0,0,54.74145889,18,300
2019-01-03 9:00,18.00702524,21.51339992,-6.618926684,314.480011,53.06720098,0,0,54.74145889,18,300
2019-01-03 10:00,17.9962244,21.53758319,-5.914026578,314.480011,54.73210144,0,0,54.74145889,18,300
2019-01-03 11:00,18.02635002,21.48819192,-4.997048219,314.480011,54.73210144,0,0,54.74145889,18,300
2019-01-03 12:00,17.98187494,21.51130819,-4.191526691,314.480011,52.22674942,0,0,54.74145889,18,300
2019-01-03 13:00,18.00279999,21.51791652,-3.729913354,314.480011,59.77230072,0,0,54.74145889,18,300
2019-01-03 14:00,17.98932505,21.48874124,-3.503448367,314.480011,59.77230072,0,0,54.74145889,18,300
2019-01-03 15:00,18.03367519,21.51925834,-3.215586702,314.480011,59.77230072,0,0,54.74145889,18,300
2019-01-03 16:00,17.99539995,21.59297498,-3.083911697,314.480011,59.77230072,0,0,54.74145889,18,300
2019-01-03 17:00,18.01602507,21.5438083,-3.114486734,314.480011,59.77230072,0,0,54.74145889,18,300
2019-01-03 18:00,18.00114965,21.5229915,-3.077909986,314.480011,64.7960968,0,0,54.74145889,18,300
2019-01-03 19:00,18.00057507,21.5085667,-2.339385033,314.480011,59.77389908,0,0,54.74145889,18,300
2019-01-03 20:00,17.99854994,21.46896633,-2.345321655,314.480011,59.77389908,0,0,54.74145889,18,300
2019-01-03 21:00,18.01095009,21.43736664,-1.464104573,314.480011,64.79170227,0,0,54.74145889,18,300
2019-01-03 22:00,18.00089979,21.55320835,0.324708782,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-03 23:00,17.94737482,21.57254187,0.899372816,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 0:00,17.97560024,21.60638316,0.230930199,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 1:00,18.00772524,21.62102493,-0.049415251,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 2:00,18.0843997,21.59495831,-0.0032064,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 3:00,18.02502537,21.58125861,0.715388323,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 4:00,18.00222492,21.52778323,1.202369491,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 5:00,18.00627518,21.49470806,1.920195003,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 6:00,17.99730015,21.48347489,2.044174989,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 7:00,18.07442522,21.49766668,1.873039981,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 8:00,17.99670029,21.31983344,2.086963336,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 9:00,18.00982523,21.28365024,2.756014983,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 10:00,18.02702522,21.32529147,3.11757493,314.480011,69.81359863,0,0,54.74145889,18,300
